대여소 그룹,대여소 명,대여 일자 / 월,대여 건수
강남구,2429.압구정로데오역 6번출구,202102,702
강남구,2430.강남파이낸스센터앞(역삼역2번출구),202102,187
강남구,2431.대치역 7번출구,202102,612
강남구,3602. 한국지역난방공사강남지사,202102,74
강동구,1001. 광진교 남단 사거리(디지털프라자앞),202102,1018
강동구,1002. 해공공원(천호동),202102,949
강동구,1003. 해공도서관앞,202102,367
강동구,1004. 삼성광나루아파트 버스정류장,202102,746
강동구,1006. 롯데캐슬 115동앞,202102,205
강동구,1007.암사동 선사유적지,202102,84
강동구,1008. 암사역 3번출구(국민은행앞),202102,1441
강동구,1009. 천호역4번출구(현대백화점),202102,1848
강동구,1010. 강동세무서,202102,1125
강동구,1011. LIGA 아파트 앞,202102,1017
강동구,1012. 서울 상운차량,202102,435
강동구,1013. 강동구청역 1번 출입구,202102,567
강동구,1014. 강동구평생학습관앞,202102,390
강동구,1015. 샛마을 근린공원,202102,293
강동구,1016. 해뜨는 주유소옆 리엔파크 109동앞,202102,294
강동구,1017. 맥도날드(길동),202102,919
강동구,1018. 둔촌 주공 GS 맞은편,202102,165
강동구,1019. 다성이즈빌아파트(호원대 대각선 맞은편),202102,1103
강동구,1020. 강동경찰서,202102,1328
강동구,1021. 강일동 리슈빌 빌딩앞,202102,742
강동구,1022. 길동 사거리(초소앞),202102,858
강동구,1023. 한국종합기술사옥 앞,202102,750
강동구,1024. 강동구청 앞,202102,1089
강동구,1025. 상일초등학교,202102,334
강동구,1026. 대명초교 입구 교차로,202102,226
강동구,1027. 프라자 아파트 앞,202102,448
강동구,1028. 포레스 주상복합 빌딩,202102,685
강동구,1029. 롯데 시네마,202102,860
강동구,1030. 미호 플랜트 앞,202102,305
강동구,1031. 올림픽로 836(아리수로),202102,312
강동구,1032. 선사고등학교,202102,169
강동구,1033. 고덕동 아남아파트,202102,313
강동구,1034. 고덕동 래미안 힐스테이트,202102,196
강동구,1035. 고덕역 4번출구,202102,343
강동구,1036. 고덕동 주양쇼핑,202102,413
강동구,1037. 강일리버파크 6단지,202102,132
강동구,1038. 강일 다솜 어린이 공원,202102,133
강동구,1039. 고덕초등학교,202102,79
강동구,1041. 묘곡초등학교,202102,308
강동구,1042. 강일리버파크 2~5단지,202102,343
강동구,1044. 굽은다리역,202102,1593
강동구,1047. 건강보험 강동지사kt,202102,769
강동구,1048. 동부기업(둔촌동),202102,790
강동구,1049. 강일리버파크 10단지,202102,390
강동구,1050. 둔촌역 3번 출입구,202102,1983
강동구,1051. 양지시장 (용성약국앞) 입구,202102,539
강동구,1052. 리싸이클시티,202102,46
강동구,1053. 동명근린공원 진입로 (아리수로),202102,80
강동구,1054. 말우물 어린이 공원,202102,114
강동구,1056. 강일리버파크 7~11단지,202102,187
강동구,1057. 능골근린공원,202102,326
강동구,1058. 고덕숲 아이파크 1,202102,328
강동구,1059. 래미안 강동팰리스(102동),202102,445
강동구,1060. 천일초교 사거리,202102,347
강동구,1061. 천호초교 입구 사거리(일주빌딩),202102,550
강동구,1062. 고덕숲 아이파크 2,202102,154
강동구,1063.강동롯데캐슬퍼스트 아파트(관리동),202102,206
강동구,1064.중앙보훈병원역 1번출구,202102,130
강동구,1065.보훈병원 정문옆(중앙대영약국),202102,379
강동구,1066.생태공원앞 교차로(조명탑),202102,126
강동구,1067.한영중고앞사거리,202102,198
강동구,1068.명일파출소,202102,279
강동구,1069.강동경희대학교병원 입구,202102,143
강동구,1070.(시립)고덕평생학습관,202102,238
강동구,1071.명일근린공원공동체텃밭,202102,121
강동구,1072.고덕역 5번출구,202102,342
강동구,1073.SSTS 몰 앞,202102,348
강동구,1074.대명초교입구 사거리,202102,509
강동구,1075.천동초교 삼거리,202102,447
강동구,1076.전자랜드 길동점,202102,843
강동구,1077.강동역 1번출구 앞,202102,792
강동구,1078.둔촌사거리,202102,777
강동구,1079.강일동입구교차로,202102,203
강동구,1080.엘웨딩,202102,359
강동구,1081.트레빌빌딩,202102,327
강동구,1082.중앙보훈병원역3번출구,202102,46
강동구,1083.광문고교사거리(아이파크),202102,185
강동구,1084. 윤선생빌딩(JYP사옥),202102,1057
강동구,1085.래미안 솔베뉴(고덕로),202102,288
강동구,1086.래미안 솔베뉴(구천면로),202102,251
강동구,1088.풍납사거리(강동),202102,385
강동구,1089.고덕 래미안힐스테이트(201동),202102,120
강동구,1090.상일동역 2번출구 앞,202102,1037
강동구,3539. 서원마을,202102,104
강동구,3652. 한영외국어고등학교,202102,31
강동구,3653. 강동리버스트4단지아파트 404동 앞,202102,474
강동구,3654. 강동리버스트4단지아파트 405동 앞,202102,387
강동구,3655. 둔촌신성미소지움아파트,202102,138
강북구,"1501. 미아역 3번,4번 출구 사이",202102,726
강북구,1503. 이디야 커피 수유역점 앞,202102,1224
강북구,1504. 다이소 삼양시장점,202102,207
강북구,1506. 강북문화예술회관,202102,506
강북구,1509. 서울북부수도사업소,202102,318
강북구,1510. 번동주공5단지 관리사무소 앞,202102,122
강북구,1511. 번동 금호어울림아파트102동앞,202102,146
강북구,1512. 강북중학교 앞,202102,1091
강북구,1513. 강북구청 뒷편,202102,95
강북구,1514. 강북구청 사거리 버스정류소 앞,202102,703
강북구,1515. 송천동 주민센터,202102,403
강북구,1516. 우이초등학교 후문 옆,202102,311
강북구,1518. SK telecom(수유직영점) 앞,202102,299
강북구,1519. 세븐일레븐 수유장미원점 앞,202102,311
강북구,1520. 성실교회,202102,486
강북구,1522. 월드전기조명인테리어(우이동),202102,237
강북구,1525. 미아동 복합청사,202102,173
강북구,1526. 수유동 채선당앞,202102,352
강북구,1527. 미아역 1번 출구 뒤,202102,357
강북구,1528. 삼각산동 주민센터,202102,222
강북구,1529. 미아동 한국전력공사,202102,816
강북구,1530. 광산사거리,202102,697
강북구,1531. 미아사거리 1번 출구,202102,1038
강북구,1532. 번3동 주민센터 교차로,202102,453
강북구,"1533. 번동 주공3, 4단지 교차로",202102,668
강북구,1534. 북서울 꿈의 숲 동문,202102,651
