대여소 명,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106
1001. 광진교 남단 사거리(디지털프라자앞),782.0,717.0,696.0,1802.0,2520.0,2951.0,2648.0,2529.0,1565.0,2908.0,2470.0,1491.0,894.0,540.0,1018.0,1649.0,2498.0,2373.0,2037.0
1002. 해공공원(천호동),631.0,569.0,561.0,1685.0,2398.0,3064.0,3119.0,2720.0,1458.0,2939.0,2621.0,1341.0,842.0,507.0,949.0,1677.0,2463.0,2560.0,3027.0
1003. 해공도서관앞,502.0,473.0,447.0,541.0,770.0,1166.0,909.0,884.0,572.0,927.0,1048.0,690.0,428.0,230.0,367.0,669.0,931.0,926.0,1188.0
1004. 삼성광나루아파트 버스정류장,440.0,428.0,435.0,1266.0,1828.0,2230.0,2172.0,1746.0,1123.0,2074.0,1914.0,952.0,615.0,365.0,746.0,1166.0,1793.0,1832.0,1533.0
1006. 롯데캐슬 115동앞,408.0,461.0,357.0,756.0,887.0,1111.0,907.0,567.0,343.0,646.0,490.0,256.0,210.0,125.0,205.0,449.0,611.0,737.0,391.0
1007.암사동 선사유적지,59.0,68.0,54.0,180.0,268.0,325.0,207.0,182.0,108.0,238.0,205.0,69.0,63.0,8.0,84.0,126.0,207.0,244.0,147.0
1008. 암사역 3번출구(국민은행앞),1127.0,1120.0,1086.0,2359.0,3452.0,4266.0,4323.0,3811.0,2214.0,3902.0,3986.0,2358.0,1297.0,799.0,1441.0,2359.0,3320.0,3335.0,4292.0
1009. 천호역4번출구(현대백화점),1690.0,1613.0,1606.0,3232.0,4705.0,5311.0,5068.0,4294.0,2480.0,4838.0,4744.0,3071.0,1746.0,1096.0,1848.0,3302.0,4517.0,4567.0,5088.0
101. (구)합정동 주민센터,424.0,305.0,308.0,646.0,758.0,881.0,995.0,883.0,594.0,893.0,972.0,751.0,553.0,372.0,464.0,60.0,,,
1010. 강동세무서,1233.0,1126.0,1161.0,2088.0,2922.0,3507.0,3411.0,2990.0,1881.0,2871.0,2786.0,1848.0,976.0,718.0,1125.0,1999.0,2830.0,2773.0,2719.0
1011. LIGA 아파트 앞,1333.0,1184.0,828.0,2052.0,3048.0,3568.0,3783.0,3108.0,1828.0,2912.0,2783.0,1946.0,1229.0,688.0,1017.0,1971.0,2802.0,2787.0,3050.0
1012. 서울 상운차량,535.0,515.0,445.0,744.0,924.0,1089.0,1157.0,1062.0,757.0,1233.0,1285.0,787.0,495.0,259.0,435.0,897.0,1140.0,1256.0,1352.0
1013. 강동구청역 1번 출입구,832.0,679.0,607.0,1010.0,1295.0,1398.0,1523.0,1230.0,760.0,1235.0,1679.0,1094.0,638.0,419.0,567.0,1135.0,1554.0,1470.0,1787.0
1014. 강동구평생학습관앞,437.0,530.0,449.0,860.0,1355.0,1535.0,1408.0,1068.0,618.0,1117.0,1113.0,615.0,338.0,205.0,390.0,725.0,1123.0,1144.0,1333.0
1015. 샛마을 근린공원,431.0,472.0,434.0,854.0,1331.0,1769.0,1362.0,1114.0,642.0,987.0,937.0,564.0,370.0,231.0,293.0,525.0,778.0,728.0,897.0
1016. 해뜨는 주유소옆 리엔파크 109동앞,248.0,215.0,190.0,654.0,1094.0,1235.0,893.0,837.0,527.0,762.0,763.0,372.0,197.0,141.0,294.0,513.0,753.0,820.0,841.0
1017. 맥도날드(길동),706.0,741.0,737.0,1456.0,1947.0,2379.0,2570.0,2207.0,1371.0,2139.0,2227.0,1442.0,923.0,530.0,919.0,1749.0,2437.0,2271.0,2310.0
1018. 둔촌 주공 GS 맞은편,392.0,370.0,362.0,456.0,21.0,42.0,118.0,73.0,49.0,69.0,164.0,300.0,213.0,99.0,165.0,402.0,699.0,711.0,711.0
1019. 다성이즈빌아파트(호원대 대각선 맞은편),1678.0,1389.0,1277.0,2196.0,2793.0,3755.0,3883.0,3094.0,1919.0,2966.0,3051.0,2261.0,1383.0,815.0,1103.0,1992.0,2729.0,2784.0,3509.0
102. 망원역 1번출구 앞,1537.0,1329.0,1296.0,2598.0,3428.0,3786.0,4138.0,3487.0,2296.0,3570.0,3703.0,2466.0,1363.0,1107.0,1610.0,2861.0,3997.0,3882.0,4609.0
1020. 강동경찰서,1386.0,1281.0,1195.0,1863.0,2306.0,2710.0,3230.0,2706.0,1964.0,2937.0,3311.0,2038.0,1350.0,886.0,1328.0,2375.0,3001.0,2807.0,3344.0
1021. 강일동 리슈빌 빌딩앞,530.0,482.0,484.0,1055.0,1569.0,1930.0,1770.0,1749.0,1088.0,1717.0,1686.0,1008.0,593.0,448.0,742.0,1276.0,1750.0,1596.0,2113.0
1022. 길동 사거리(초소앞),859.0,742.0,820.0,1261.0,1705.0,1890.0,1997.0,1717.0,1143.0,1842.0,1975.0,1282.0,728.0,538.0,858.0,1415.0,1821.0,1824.0,2078.0
1023. 한국종합기술사옥 앞,618.0,528.0,532.0,1088.0,1610.0,1992.0,2150.0,1781.0,1062.0,1785.0,1678.0,1185.0,759.0,435.0,750.0,1485.0,2292.0,2069.0,2786.0
1024. 강동구청 앞,922.0,851.0,847.0,1622.0,2181.0,2560.0,2895.0,2418.0,1547.0,2348.0,1310.0,1621.0,1090.0,670.0,1089.0,2079.0,2643.0,2588.0,3218.0
1025. 상일초등학교,123.0,120.0,146.0,393.0,689.0,808.0,884.0,770.0,401.0,743.0,773.0,528.0,282.0,170.0,334.0,489.0,835.0,777.0,827.0
