,정류소명,X좌표,Y좌표
138,청계8가.영도교,127.018274,37.57089463
139,원남동사거리,126.9982124,37.57578617
140,숭인동,127.0203787,37.57438126
141,조계사,126.9830466,37.57279704
142,세종문화회관,126.9766821,37.57334287
143,이화동(이화장),127.0029997,37.5761872
144,상명대정문,126.9550659,37.60166612
145,이북오도청,126.955893,37.61305175
146,상명대입구.세검정교회,126.9597659,37.59939339
147,상명대입구.석파랑,126.9583524,37.59976676
148,종로중부새마을금고,127.0065017,37.57239261
149,신설동로터리.신한은행앞.서울풍물시장,127.023202,37.57438854
150,청계2가.삼일교,126.9872038,37.56827105
151,청계8가.황학교,127.0227587,37.57202421
152,평창동삼성아파트,126.9786583,37.61114471
153,안국역.종로경찰서.인사동,126.985459,37.57644246
154,안국역.종로경찰서.인사동,126.9848482,37.57631159
155,남인사마당,126.9875497,37.5713121
156,평창파출소,126.9668407,37.60565062
157,삼청공원,126.9816831,37.58820522
158,수성동계곡,126.9642468,37.58207926
159,명륜3가종점,126.992862,37.59094741
160,명륜새마을금고,126.996701,37.587775
161,서대문3번출구,126.9661707,37.56638695
162,낙산공원,127.0087267,37.5804315
163,인사미술공간.세탁소,126.9893928,37.5814087
164,화정박물관,126.9648999,37.60477714
165,금융연수원,126.9816318,37.58659721
166,박노수미술관,126.9666083,37.58102384
167,샘미용실,126.9932462,37.59031994
168,서울국제고등학교,126.9972253,37.58909477
169,화정박물관,126.9652221,37.6050003
170,적십자병원후문앞,126.9651082,37.56746105
171,서울성곽.성대후문,126.9896242,37.58936828
172,빨래터.고희동미술관,126.9893435,37.58265202
173,세검초등학교,126.9613774,37.60421635
174,삼청동주민센터,126.9819214,37.58426224
175,통인시장,126.9687475,37.58045056
176,양현관,126.9936156,37.58979638
177,국민생활관,126.9988862,37.58982995
178,오거리,126.9622896,37.60708503
179,경희궁자이2.3단지,126.963958,37.56872813
180,창신쌍용2단지.한성대후문,127.012764,37.581314
181,통일부,126.9856444,37.58757377
182,원서고개,126.9878078,37.58313929
183,종로5가입구.혜화경찰서,126.9976354,37.57175197
184,삼청파출소,126.9812527,37.58181295
185,오거리.한옥마을입구,126.9695468,37.57949911
186,명륜시장.성대후문,126.9952895,37.58852435
187,혜화초등학교,126.9998817,37.58725861
188,청련사입구,126.9624033,37.60802413
189,영천시장,126.9627339,37.56993749
190,명신초.삼선푸르지오.힐스테이트,127.0145303,37.58214747
191,감사원,126.9853527,37.58630021
192,중앙중고,126.9869646,37.58313014
193,인왕빌딩,126.9576748,37.60787761
194,종로4가.종묘공원,126.9933354,37.57053493
195,국립민속박물관,126.9795529,37.57925522
196,광화문새마을금고,126.971144,37.5794299
197,새마을금고,126.996533,37.587764
198,혜화우체국,127.000652,37.58606005
199,언덕앞,126.9637502,37.60897784
200,경희궁자이4단지,126.9620022,37.57062718
201,종로센트레빌후문.e편한세상보문아파트,127.0161805,37.58181551
202,사우디대사관앞.경남빌라,126.9850108,37.58410605
203,안국선원.삼거리,126.9849937,37.58279098
204,구기터널입구,126.9568023,37.60824748
205,종로3가.1.3.5호선,126.9920673,37.5710577
206,경복궁,126.9794156,37.57694919
207,경복궁역,126.9723619,37.57669709
208,소나무집,126.9641242,37.61133533
209,독립문역3번출구,126.9596864,37.57284056
210,청룡사.보문파크뷰자이아파트,127.0170513,37.58001947
211,북촌한옥마을입구.정세권활동터,126.9849792,37.58159945
212,종로1.2.3.4가동주민센터,126.9910279,37.5743637
213,창덕궁,126.9905176,37.57606978
214,아름다운실버,126.9654343,37.61202201
215,독립문초등학교,126.9607061,37.57385981
