,자치구명,사용월,승차총승객수,하차총승객수
163,광진구,201909,5390684,5217464
164,광진구,201910,5521209,5357022
165,광진구,201911,5613246,5440644
166,광진구,201912,5615117,5437263
167,광진구,202001,4886746,4746806
168,광진구,202002,4729920,4613669
169,광진구,202003,3887636,3779650
170,광진구,202004,4089609,3969278
171,광진구,202005,4260256,4127227
172,광진구,202006,4595461,4457488
173,광진구,202007,4625865,4503970
174,광진구,202008,4214086,4103913
175,광진구,202009,4017441,3918818
176,광진구,202010,4262151,4129860
177,광진구,202011,4631947,4499708
178,광진구,202012,3647057,3542232
179,광진구,202101,3704362,3590897
180,광진구,202102,4026174,3898062
181,광진구,202103,4396497,4262478
182,광진구,202104,4435661,4294586
183,광진구,202105,4355835,4191083
184,광진구,202106,4509266,4330929
185,광진구,202107,4257983,4088403
186,구로구,201901,17090944,16689397
187,구로구,201902,16271654,15874553
188,구로구,201903,18289726,17819451
189,구로구,201904,18697174,18262055
190,구로구,201905,18325140,17971836
191,구로구,201906,18305213,17951940
192,구로구,201907,18765400,18386701
193,구로구,201908,17994757,17537539
194,구로구,201909,17936959,17473115
195,구로구,201910,18662518,18157195
196,구로구,201911,19026691,18531068
197,구로구,201912,19010854,18480261
198,구로구,202001,16604015,16116244
199,구로구,202002,15658113,15220684
200,구로구,202003,12141860,11904905
201,구로구,202004,12951950,12690686
202,구로구,202005,14097230,13794393
203,구로구,202006,15215167,14936789
204,구로구,202007,15373562,15046246
205,구로구,202008,14020121,13715969
206,구로구,202009,13338305,13067429
207,구로구,202010,13819527,13585465
208,구로구,202011,14955477,14757202
209,구로구,202012,11709239,11520201
210,구로구,202101,11862419,11638502
211,구로구,202102,12881490,12673163
212,구로구,202103,13733536,13528453
213,구로구,202104,13668596,13407436
214,구로구,202105,13304238,13037663
215,구로구,202106,14014381,13782885
216,구로구,202107,13044589,12849053
217,금천구,201901,10191385,9407958
218,금천구,201902,9891266,9155380
219,금천구,201903,11031750,10226877
220,금천구,201904,11336660,10520764
221,금천구,201905,11107843,10333150
222,금천구,201906,11171973,10372529
223,금천구,201907,11595117,10707315
224,금천구,201908,11035799,10205542
225,금천구,201909,11030517,10161083
226,금천구,201910,11337072,10479671
227,금천구,201911,11601865,10694262
228,금천구,201912,11637733,10747290
229,금천구,202001,10210354,9421801
230,금천구,202002,9800041,9006893
231,금천구,202003,7969672,7304979
232,금천구,202004,8354426,7702010
233,금천구,202005,8925900,8255207
234,금천구,202006,9691423,8930236
235,금천구,202007,9762016,8993395
236,금천구,202008,8978667,8267758
237,금천구,202009,8800837,8096701
238,금천구,202010,8924169,8261654
239,금천구,202011,9783491,9025099
240,금천구,202012,7948191,7318725
241,금천구,202101,7982400,7357152
242,금천구,202102,8611009,7937462
243,금천구,202103,9322118,8577152
244,금천구,202104,9353651,8606100
245,금천구,202105,9075971,8347696
246,금천구,202106,9487889,8764332
247,금천구,202107,8982396,8286330
248,노원구,201901,8759868,8849130
249,노원구,201902,8683535,8775968
250,노원구,201903,10187326,10311879
251,노원구,201904,10191226,10301877
252,노원구,201905,9930840,10075575
253,노원구,201906,9691823,9794785
254,노원구,201907,9734985,9865052
255,노원구,201908,9232506,9398985
256,노원구,201909,9450117,9603698
257,노원구,201910,9666794,9837438
258,노원구,201911,9821495,10049006
259,노원구,201912,9686404,9872535
260,노원구,202001,8209803,8384547
261,노원구,202002,7784329,7944255
262,노원구,202003,5916827,6008760
263,노원구,202004,6333811,6382089
264,노원구,202005,6931188,6980116
265,노원구,202006,7776097,7814423
266,노원구,202007,7781196,7817880
267,노원구,202008,6966650,7003155
268,노원구,202009,6396297,6428462
269,노원구,202010,6978015,7042082
270,노원구,202011,7602594,7669014
271,노원구,202012,5774113,5809015
272,노원구,202101,5823415,5876949
273,노원구,202102,6420696,6500818
274,노원구,202103,6991003,7101533
275,노원구,202104,7074234,7181894
276,노원구,202105,6910220,7000187
277,노원구,202106,7249186,7340884
278,노원구,202107,6681707,6773079
279,도봉구,201901,7794566,7315526
280,도봉구,201902,7732825,7268939
281,도봉구,201903,8510823,7999596
282,도봉구,201904,8708132,8201082
283,도봉구,201905,8514596,8033825
284,도봉구,201906,8544419,8064108
285,도봉구,201907,8544638,8058975
286,도봉구,201908,8093057,7644947
287,도봉구,201909,8181331,7726632
288,도봉구,201910,8348261,7879061
289,도봉구,201911,8562188,8091870
290,도봉구,201912,8580913,8117972
291,도봉구,202001,7423276,7002396
292,도봉구,202002,7121452,6709551
293,도봉구,202003,5821222,5454723
294,도봉구,202004,6180163,5784389
295,도봉구,202005,6618455,6204188
296,도봉구,202006,7140359,6707681
297,도봉구,202007,7166746,6742506
298,도봉구,202008,6430810,6059102
299,도봉구,202009,6324826,5993740
300,도봉구,202010,6698636,6351084
301,도봉구,202011,7239226,6886336
302,도봉구,202012,5720670,5426847
303,도봉구,202101,5771886,5453049
304,도봉구,202102,6404255,6061694
305,도봉구,202103,6936409,6561567
306,도봉구,202104,6974414,6585428
307,도봉구,202105,6827023,6452643
308,도봉구,202106,7088860,6695406
309,도봉구,202107,6583904,6245313
310,동대문구,201901,10518601,9985074
311,동대문구,201902,10289581,9759662
312,동대문구,201903,11725389,11146733
313,동대문구,201904,11911258,11342522
314,동대문구,201905,11627060,11098474
315,동대문구,201906,11381345,10871089
316,동대문구,201907,11375584,10885400
317,동대문구,201908,10780117,10373764
318,동대문구,201909,11192944,10777862
319,동대문구,201910,11494203,11075937
320,동대문구,201911,11731246,11287025
321,동대문구,201912,11515637,11048670
322,동대문구,202001,9836230,9461180
323,동대문구,202002,9304355,8954936
324,동대문구,202003,7338335,7093000
325,동대문구,202004,7973880,7706303
326,동대문구,202005,8663033,8357600
327,동대문구,202006,9482128,9143864
328,동대문구,202007,9516992,9173775
329,동대문구,202008,8595417,8265585
330,동대문구,202009,8382627,8114319
331,동대문구,202010,8798376,8454666
332,동대문구,202011,9545519,9178136
333,동대문구,202012,7552683,7255015
334,동대문구,202101,7555374,7237866
335,동대문구,202102,8269990,7934187
336,동대문구,202103,9062062,8708280
337,동대문구,202104,9133562,8779217
338,동대문구,202105,8859000,8524917
339,동대문구,202106,9197454,8836545
340,동대문구,202107,8559738,8237747
341,동작구,201901,15769718,15072720
342,동작구,201902,14995156,14351458
343,동작구,201903,17477129,16740709
344,동작구,201904,17596848,16939124
345,동작구,201905,17081947,16486522
346,동작구,201906,16908913,16322139
347,동작구,201907,16879956,16264105
348,동작구,201908,15978301,15395335
349,동작구,201909,16367749,15845156
350,동작구,201910,16860696,16316418
351,동작구,201911,17143945,16599491
352,동작구,201912,16820561,16262931
353,동작구,202001,14366429,13857348
354,동작구,202002,13592090,13091815
355,동작구,202003,10386292,10009697
356,동작구,202004,11143268,10750949
357,동작구,202005,12230267,11798217
358,동작구,202006,13322807,12894935
359,동작구,202007,13366720,12913803
360,동작구,202008,12061171,11658507
361,동작구,202009,11161107,10838497
362,동작구,202010,11841696,11480269
363,동작구,202011,12639119,12265369
364,동작구,202012,9559989,9295048
365,동작구,202101,9596372,9314046
366,동작구,202102,10754106,10455490
367,동작구,202103,11889408,11567649
368,동작구,202104,11950456,11638566
369,동작구,202105,11667014,11375800
370,동작구,202106,12261333,12010010
371,동작구,202107,11402450,11143114
372,마포구,201901,17021958,16465150
373,마포구,201902,16358903,15854196
374,마포구,201903,18362184,17712975
375,마포구,201904,18431885,17829436
376,마포구,201905,18238047,17670239
377,마포구,201906,17911463,17366036
378,마포구,201907,18312759,17745116
379,마포구,201908,18391629,17663908
380,마포구,201909,18167537,17370553
381,마포구,201910,19030840,18297175
382,마포구,201911,19032995,18239781
383,마포구,201912,18973214,18150072
384,마포구,202001,16351396,15682304
385,마포구,202002,15571216,15027582
386,마포구,202003,12137274,11799724
387,마포구,202004,12768852,12392699
388,마포구,202005,13548901,13116648
389,마포구,202006,14859791,14366740
390,마포구,202007,15283628,14752229
391,마포구,202008,13749633,13244646
392,마포구,202009,12589965,12178407
393,마포구,202010,13580911,13161049
394,마포구,202011,14621105,14128876
395,마포구,202012,10887642,10485818
396,마포구,202101,11116567,10701876
397,마포구,202102,12767126,12309360
398,마포구,202103,13950106,13413396
399,마포구,202104,13848728,13343823
400,마포구,202105,13636345,12512736
401,마포구,202106,14451891,13292196
402,마포구,202107,12983768,12010391
403,서대문구,201901,12400892,11999302
404,서대문구,201902,12037969,11648488
405,서대문구,201903,14086793,13673206
406,서대문구,201904,14288731,13879598
407,서대문구,201905,13943021,13544609
408,서대문구,201906,13696949,13303670
409,서대문구,201907,13601802,13205703
410,서대문구,201908,12893805,12509497
411,서대문구,201909,13456050,13099236
412,서대문구,201910,13757988,13399839
413,서대문구,201911,14078186,13734030
414,서대문구,201912,13701867,13352727
415,서대문구,202001,11562422,11234332
416,서대문구,202002,10968423,10686998
417,서대문구,202003,8717684,8504799
418,서대문구,202004,9253295,9042448
419,서대문구,202005,10028174,9809688
420,서대문구,202006,10932534,10696749
421,서대문구,202007,10996078,10758174
422,서대문구,202008,9826605,9623558
423,서대문구,202009,9305908,9149353
424,서대문구,202010,9983337,9833303
425,서대문구,202011,10827259,10673021
426,서대문구,202012,8283102,8188122
427,서대문구,202101,8225276,8119620
428,서대문구,202102,9293613,9183521
429,서대문구,202103,10284229,10169644
430,서대문구,202104,10282114,10178268
431,서대문구,202105,10012208,9920415
432,서대문구,202106,10502538,10390084
433,서대문구,202107,9623818,9499823
434,서초구,201901,16438988,15371951
435,서초구,201902,15696890,14666919
436,서초구,201903,17334356,16182584
437,서초구,201904,17436377,16295692
438,서초구,201905,17059511,15921616
439,서초구,201906,17314689,16189531
440,서초구,201907,17993135,16834353
441,서초구,201908,17026033,15911444
442,서초구,201909,16500055,15380971
443,서초구,201910,17006430,15888607
444,서초구,201911,17538629,16421325
445,서초구,201912,17450976,16349861
446,서초구,202001,15185750,14247961
